"2016-02-01"	"Cigarette"	"tea + cold drink"	"109"
"2016-02-01"	"Food"	"fuchka+icecream"	"30"
"2016-02-02"	"Cigarette"	"+ tea"	"120"
"2016-02-02"	"Conveyance"	"To gariahat"	"31"
"2016-02-02"	"Food"	"Dinner crystal chopstick + Fuchka"	"1060"
"2016-02-03"	"Cigarette"	"--Empty--"	"80"
"2016-02-03"	"Food"	"Mio amore"	"54"
"2016-02-03"	"Kids"	"Radha Mashi part salary"	"1000"
"2016-02-03"	"Miscellaneous"	"Passport photo"	"186"
"2016-02-04"	"Uncategorized"	"--Empty--"	"2034"
